pause: 1
move: [-0.138216, -0.241670]
move: [-2.825599, -2.646178]
move: [1.618513, 0.925992]
move: [0.542827, 2.871194]
move: [-1.943441, -3.068339]
move: [1.469886, 0.917084]
move: [-2.080318, -2.671546]
move: [-0.222021, -3.053898]
move: [1.842547, 0.876275]
move: [-1.679218, -1.005718]
move: [-1.446740, -1.517409]
move: [-0.242873, -1.862934]
move: [3.122999, -0.988211]
move: [2.355616, 2.836285]
move: [-2.324941, -0.474484]
move: [-1.776247, -1.144709]
move: [-3.102263, 0.578928]
move: [0.040790, 0.656906]
move: [2.379309, 0.874136]
move: [2.622236, -1.295034]
pause: 1
