pause: 1
move: [-2.844941, -1.545707]
move: [-2.304020, 0.861824]
move: [0.408374, -0.675374]
move: [-1.411189, -0.071966]
move: [0.494858, -0.614046]
move: [-0.744120, -2.528469]
move: [0.295467, -1.164344]
move: [-2.378106, 2.955460]
move: [2.061621, 1.928245]
move: [-2.853060, -0.163119]
move: [1.000860, 1.022256]
move: [2.055012, 0.627331]
move: [0.323105, -0.764024]
move: [-2.672344, -2.752084]
move: [1.544740, 1.740367]
move: [-1.824955, -2.897840]
move: [0.850418, 0.521366]
move: [2.826064, 2.025526]
move: [0.834887, 3.039341]
move: [-0.317254, 2.818774]
pause: 1
